ready	folder	essay	thumbnail	manifest	height	width	format	iiif-url	attribution	source	author	description	license	label	url	attribution-url
		20c-wellshg-biography							By permission of Alan Taylor, Folkestone Local History Society					Spade House	images/Spade House.jpg	
		20c-wellshg-biography												Spade House	images/Spade House 2 .jpg	
		20c-wellshg-biography							© Michelle Crowther					Kipps Alehouse, Folkestone, 2021	images/Kipps MJC.jpg	
		20c-wellshg-biography							Photochrom Print Collection, Public domain, via Wikimedia Commons					The Promenade, Sandgate	https://upload.wikimedia.org/wikipedia/commons/9/9e/The_promenade%2C_Sandgate%2C_England-LCCN2002708091.jpg	
		20c-wellshg-biography							© Martin Crowther					Spade House, 2021	images/spade MJC.jpg	
	20c	20c-maxwelld-biography													images/maxwell1.jpg	
	20c	20c-maxwelld-biography													images/maxwell2.jpg	
		20c-jarman-biography							Alexandra Loske					Prospect Cottage	images/Jarman1.jpg	
		20c-jarman-biography							Alexandra Loske					Dungeness.	images/Jarman3.jpg	
		20c-jarman-biography							Alexandra Loske					Dungeness	images/Jarman4.jpg	
		20c-powell-cotton							Quex Park Museum					Tony	20c/images/Tony Archaeologist.jpg	
		20c-powell-cotton							Quex Park Museum					Truck, Tony and Joao.jpg	20c/images/1936 R2-12 Our truck Tony and Joao.jpg	
		20c-powell-cotton							Quex Park Museum					Tony gathering straw, Angola, 1937	20c/images/1937 Angola Jemima stuck.jpg	
	20c	20c-holt-biography													images/The Goodwin Sands img-019.jpg	
	20c	20c-rupert-bear													/21c/images/RupertMJC.jpg	
	20c	20c-rupert-bear													/20c/images/chaucerhotel.jpg	
		20c-secret-tunnels							Postcard c.1920s					Roman Pharos, Dover	images/Roman Pharos.jpg	
		20c-secret-tunnels							George Chambers, Public domain, via Wikimedia Commons					George Chambers (1803-40) - A View of Dover - RCIN 405276 - Royal Collection	https://upload.wikimedia.org/wikipedia/commons/4/47/George_Chambers_%281803-40%29_-_A_View_of_Dover_-_RCIN_405276_-_Royal_Collection.jpg	
		20c-secret-tunnels							Sakralamn, CC BY-SA 4.0, via Wikimedia Commons					Dover Castle, Officer's Mess	https://upload.wikimedia.org/wikipedia/commons/1/16/Dover_Castle_005.jpg	
		20c-secret-tunnels							Brooke Altringham					Illustration of the secret war tunnels at Dover	images/brooke.jpg	
		20c-secret-tunnels							War Office official photographer, Public domain, via Wikimedia Commons					Photograph of a dummy tank, Dover	https://upload.wikimedia.org/wikipedia/commons/5/54/Dummy_Vehicles_and_Equipment_USED_For_Deception_during_the_Second_World_War_H42531.jpg	
		20c-secret-tunnels							Egghead06, Public domain, via Wikimedia Commons					Sir Bertram Ramsay Statue, Dover	https://upload.wikimedia.org/wikipedia/commons/6/64/RamsayStatueDover.JPG	
	20c	20c-maugham-biography													images/thumbnail_somersetmauagham.jpg	
		20c-forster-em-biography							Nigel Chadwick, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons						images/Tonbridge_School_-_geograph.org.uk_-_1542050.jpg	
		20c-forster-em-biography							Poliphilo, CC0, via Wikimedia Commons						images/North_Downs_at_Trottiscliffe.jpg	
	20c	20c-st-john-biography													images/christopherstjohn.jpg	
		20c-bowen-biography							Lewis, Arthur D, Public domain, via Wikimedia Commons					Lewis, Arthur D, The Kent Coast	images/The_Kent_coast_(IA_kentcoast00lewirich).jpg	
		20c-bowen-biography							Wilrooij, CC BY-SA 4.0, via Wikimedia Commons					Rosa 'Dorothy Perkins' (Jackson & Perkins, 1901)	https://upload.wikimedia.org/wikipedia/commons/a/aa/Rosa_%27Dorothy_Perkins%27_01.jpg	
		20c-bowen-biography							Diana Hirst					Folkestone	images/bowenfolkestone.jpg	
		20c-bowen-biography							H. G. Wells, Public domain, via Wikimedia Commons					H. G. Wells	https://upload.wikimedia.org/wikipedia/commons/7/7f/H_G_Wells_pre_1922.jpg	
		20c-bowen-biography							Photochrom Print Collection, Public domain, via Wikimedia Commons					The Leas, Folkeston	https://upload.wikimedia.org/wikipedia/commons/f/f3/The_Lees_-i.e.%2C_Leas-%2C_Folkestone%2C_England-LCCN2002696746.jpg	
		20c-bowen-biography							Duncharris at the English language Wikipedia, CC BY-SA 3.0, via Wikimedia Commons					Down House	https://upload.wikimedia.org/wikipedia/commons/f/f7/Down_House_RC.jpg	
		20c-bowen-biography							Photographed by Martin Crowther					Bleak House, Broadstairs	images/Bleak House Broadstairs MJC.jpg	
		20c-bowen-biography							Nick Smith / High tide on the River Stour, near Gazen Salts, Sandwich via Wikimedia Commons					High tide on the River Stour, near Gazen Salts, Sandwich	https://upload.wikimedia.org/wikipedia/commons/6/61/High_tide_on_the_River_Stour%2C_near_Gazen_Salts%2C_Sandwich_-_geograph.org.uk_-_736584.jpg	
		20c-bowen-biography							Poliphilo, CC0, via Wikimedia Commons					Romney Marsh from Lympne	https://upload.wikimedia.org/wikipedia/commons/8/8a/Romney_Marsh_from_Lympne.JPG	
		20c-bowen-biography							DeFacto, CC BY-SA 4.0, via Wikimedia Commons					St Leonard's Church, Hythe	https://upload.wikimedia.org/wikipedia/commons/2/27/St_Leonard%27s_church%2C_Hythe.jpg	
		20c-sackville-west-biography												Sissinghurst	images/sissinghurst2.jpg	
		20c-sackville-west-biography							George Grantham Bain Collection (Library of Congress)., Public domain, via Wikimedia Commons					Hon Mrs Nicholson	https://upload.wikimedia.org/wikipedia/commons/8/8e/Hon_Mrs_Nicholson_cropped.jpg	
		20c-sackville-west-biography							Colin Smith / Groombridge Place and Moat					Groombridge Place	https://upload.wikimedia.org/wikipedia/commons/a/a8/Groombridge_Place_and_Moat._-_geograph.org.uk_-_170963.jpg	
		20c-sackville-west-biography							Carolyn Oulton					Sissinghurst Castle	images/sissinghurstpostcard.jpg	
		20c-sackville-west-biography							image taken from the print version of her play The Coronation published in 1912 -Photographed by Marie Leon					Christopher St John	images/christopherstjohn.jpg	
		20c-sackville-west-biography							Nigel Chadwick, CC BY-SA 2.0 https://creativecommons.org/licenses/by-sa/2.0, via Wikimedia Commons					Trinity Church, Sissinghurst	https://upload.wikimedia.org/wikipedia/commons/d/d4/Trinity_Church%2C_Sissinghurst_-_geograph.org.uk_-_1803168.jpg	
		20c-sackville-west-biography							Klaus D. Peter, Wiehl, Germany, CC BY 2.0 DE <https://creativecommons.org/licenses/by/2.0/de/deed.en>, via Wikimedia Commons					Sissinghurst Gardens	https://upload.wikimedia.org/wikipedia/commons/0/05/Sissinghurst_castle.JPG	
		20c-sackville-west-biography												Cover of Sissinghurst by Vita Sackville-West	images/sissinghurstcover.jpg	
		20c-tourtel-biography												©Canterbury Museums and Galleries. Mary Tourtel at her home in Palace Street, Canterbury. Circa 1895.	images/tourtelcantmus.jpg	
		20c-tourtel-biography												The Sidney Cooper Gallery © Martin Crowther	/20c/images/sidneycooper.jpg	
		20c-tourtel-biography												©Canterbury Museums and Galleries. Three Little Foxes.	images/tourtel4cantmus.jpg	
		20c-tourtel-biography												©Canterbury Museums and Galleries. Gentleness from ‘Horses at Work’.	images/tourtel3cantmus.jpg	
		20c-tourtel-biography												©Canterbury Museums and Galleries. Kicking from ‘Horses at Work’.	images/tourtel2cantmus.jpg	
		20c-tourtel-biography												©Canterbury Museums and Galleries. Canterbury Cloisters.	images/tourtel5cantmus.jpg	
		20c-tourtel-biography												© Martin Crowther	images/tourtelgrave.jpg	
	20c	20c-waterer-biography													images/GettyImages-1053502770 Gladys Waterer1.jpg	
		20c-powell-cotton-biography DELETE							Quex Park Museum					Tony	images/Tony Archaeologist.jpg	
		20c-powell-cotton-biography DELETE							Quex Park Museum					Truck, Tony and Joao.jpg	images/1936 R2-12 Our truck Tony and Joao.jpg	
	20c	20c-terry-biography													images/thumbnail_ET-and-HI-72.jpg	
	20c	20c-eliot-biography													/20c/images/eliot3.JPG	
	20c	20c-eliot-biography													/20c/images/eliot1.JPG	
	20c	20c-eliot-biography													/20c/images/eliot2.JPG	
		20c-richborough												Richborough Ferry 1916-1919	images/thumbnail_Richborough Ferry 1916-19 PC19-077.jpg	
		20c-richborough							Lisa Hawkins					Path in the Wantsum Kent	images/Path in the Wantsum Kent.jpg	
		20c-richborough												Richborough Ferry 1916-19	images/thumbnail_Unloading Train Ferry 1919.jpg	
	20c	20c-winbolt-biography													images/RomanFolkestone by Winbolt MJC.jpg	
	20c	20c-winbolt-biography													images/Roman Folkestone inside MJC.jpg	
		20c-fordmadoxford-biography							not stated, Public domain, via Wikimedia Commons				Public Domain	Ford Madox Heuffer.	https://upload.wikimedia.org/wikipedia/commons/6/67/Picture_of_Ford_Madox_Hueffer.jpg	
		20c-fordmadoxford-biography							Christopher Hilton / Pent Farm, Postling				Creative Commons Attribution Share-alike license 2.0	Pent Farm, Postling.	https://upload.wikimedia.org/wikipedia/commons/6/6e/Pent_Farm%2C_Postling_%28geograph_3467328%29.jpg	
		edwin-drood-curated-walk							Benjamin Mortley					Rochester Cathedral	https://stor.artstor.org/stor/44be2f2c-2f9a-48a2-8cc2-e009206ac344	
